GenreNumber,Title,MoNu,Myrating,Genre,MyGenre,Director Name,RandomWord
2714,Seven Years in Tibet,1714,32,Adventure,logicists,Jean-Jacques Annaud,vd
2715,Shadow Conspiracy,1715,88,Action,parroter,George P. Cosmatos,sef
2716,Shooting Fish,1716,45,Comedy,hell-rake,Stefan Schwartz,zef
2717,Smilla's Sense of Snow,1717,30,Action,triphylite,Bille August,zerf
2718,Soul Food,1718,3,Comedy,distancy,George Tillman Jr., xrd
2719,Spawn,1719,2,Action,spinnies,Mark A.Z. DippÃ©,gbc
2720,Speed 2: Cruise Control,1720,5,Action,resmethrin,Jan de Bont,vd
2721,Spice World,1721,81,Comedy,angledozer,Bob Spiers,sef
2722,Starship Troopers,1722,44,Action,ethoxylate,Paul Verhoeven,zef
2723,Steel,1723,14,Action,ursidae,Kenneth Johnson,zerf
2724,Switchback,1724,81,Crime,whippowill,Jeb Stuart, xrd
2725,The Apostle,1725,37,Drama,silurid,Robert Duvall,gbc
2726,The Borrowers,1726,77,Adventure,bardiche,Peter Hewitt,vd
2727,The Cure,1727,84,Crime,logicists,Kiyoshi Kurosawa,sef
2728,The Devil's Advocate,1728,92,Drama,parroter,Taylor Hackford,zef
2729,The Devil's Own,1729,85,Action,hell-rake,Alan J. Pakula,zerf
2730,The Fifth Element,1730,11,Action,triphylite,Luc Besson, xrd
2731,The Full Monty,1731,88,Comedy,distancy,Peter Cattaneo,gbc
2732,The Game,1732,89,Drama,spinnies,David Fincher,vd
2733,The Ice Storm,1733,56,Drama,resmethrin,Ang Lee,sef
2734,The Jackal,1734,78,Action,angledozer,Michael Caton-Jones,zef
2735,The Last Time I Committed Suicide,1735,56,Biography,ethoxylate,Stephen Kay,zerf
2736,The Lost World: Jurassic Park,1736,67,Action,ursidae,Steven Spielberg, xrd
2737,The Man Who Knew Too Little,1737,95,Action,whippowill,Jon Amiel,gbc
2738,The Peacemaker,1738,47,Action,silurid,Mimi Leder,vd
2739,The Postman,1739,4,Action,bardiche,Kevin Costner,sef
2740,The Rainmaker,1740,81,Crime,logicists,Francis Ford Coppola,zef
2741,The Relic,1741,93,Horror,parroter,Peter Hyams,zerf
2742,The Saint,1742,81,Action,hell-rake,Phillip Noyce, xrd
2743,The Spanish Prisoner,1743,14,Drama,triphylite,David Mamet,gbc
2744,The Sticky Fingers of Time,1744,93,Sci-Fi,distancy,Hilary Brougher,vd
2745,The Sweet Hereafter,1745,95,Drama,spinnies,Atom Egoyan,sef
2746,The Swindle,1746,43,Comedy,resmethrin,Claude Chabrol,zef
2747,Titanic,1747,82,Drama,angledozer,James Cameron,zerf
2748,Tomorrow Never Dies,1748,1,Action,ethoxylate,Roger Spottiswoode, xrd
2749,Trekkies,1749,37,Documentary,ursidae,Roger Nygard,gbc
2750,Turbulence,1750,52,Action,whippowill,Robert Butler,vd
2751,Two Girls and a Guy,1751,92,Comedy,silurid,James Toback,sef
2752,Ulee's Gold,1752,43,Drama,bardiche,Victor Nunez,zef
2753,Volcano,1753,12,Action,logicists,Mick Jackson,zerf
2754,Wag the Dog,1754,14,Comedy,parroter,Barry Levinson, xrd
2755,Warriors of Virtue,1755,41,Action,hell-rake,Ronny Yu,gbc
2756,20 Dates,1756,90,Biography,triphylite,Myles Berkowitz,vd
2757,54,1757,56,Drama,distancy,Mark Christopher,sef
2758,A Bug's Life,1758,37,Adventure,spinnies,John Lasseter,zef
2759,A Civil Action,1759,41,Drama,resmethrin,Steven Zaillian,zerf
2760,A Night at the Roxbury,1760,63,Comedy,angledozer,John Fortenberry, xrd
2761,A Simple Plan,1761,32,Crime,ethoxylate,Sam Raimi,gbc
2762,American History X,1762,7,Crime,ursidae,Tony Kaye,vd
2763,Among Giants,1763,46,Comedy,whippowill,Sam Miller,sef
2764,Antz,1764,29,Adventure,silurid,Eric Darnell,zef
2765,Armageddon,1765,34,Action,bardiche,Michael Bay,zerf
2766,Babe: Pig in the City,1766,39,Adventure,logicists,George Miller, xrd
2767,Barney's Great Adventure,1767,65,Adventure,parroter,Steve Gomer,gbc
2768,Beloved,1768,28,Drama,hell-rake,Jonathan Demme,vd
2769,Blade,1769,82,Action,triphylite,Stephen Norrington,sef
2770,Bride of Chucky,1770,39,Comedy,distancy,Ronny Yu,zef
2771,Broken Vessels,1771,29,Drama,spinnies,Scott Ziehl,zerf
2772,Buffalo '66,1772,51,Comedy,resmethrin,Vincent Gallo, xrd
2773,Bulworth,1773,74,Comedy,angledozer,Warren Beatty,gbc
2774,Can't Hardly Wait,1774,32,Comedy,ethoxylate,Harry Elfont,vd
2775,Celebrity,1775,23,Comedy,ursidae,Woody Allen,sef
2776,Central Station,1776,97,Drama,whippowill,Walter Salles,zef
2777,Chairman of the Board,1777,6,Comedy,silurid,Alex Zamm,zerf
2778,City of Angels,1778,98,Drama,bardiche,Brad Silberling, xrd
2779,Clay Pigeons,1779,64,Comedy,logicists,David Dobkin,gbc
2780,Dark City,1780,43,Action,parroter,Alex Proyas,vd
2781,Dead Man on Campus,1781,56,Comedy,hell-rake,Alan Cohn,sef
2782,Deep Impact,1782,37,Action,triphylite,Mimi Leder,zef
2783,Deep Rising,1783,54,Action,distancy,Stephen Sommers,zerf
2784,Desert Blue,1784,60,Drama,spinnies,Morgan J. Freeman, xrd
2785,Dirty Work,1785,70,Comedy,resmethrin,Bob Saget,gbc
2786,Disturbing Behavior,1786,86,Horror,angledozer,David Nutter,vd
2787,Doctor Dolittle,1787,49,Comedy,ethoxylate,Betty Thomas,sef
2788,Elizabeth,1788,74,Biography,ursidae,Shekhar Kapur,zef
2789,Enemy of the State,1789,19,Action,whippowill,Tony Scott,zerf
2790,Ever After: A Cinderella Story,1790,64,Comedy,silurid,Andy Tennant, xrd
2791,Fear and Loathing in Las Vegas,1791,82,Adventure,bardiche,Terry Gilliam,gbc
2792,Gods and Monsters,1792,4,Biography,logicists,Bill Condon,vd
2793,Half Baked,1793,33,Comedy,parroter,Tamra Davis,sef
2794,Happiness,1794,12,Comedy,hell-rake,Todd Solondz,zef
2795,Hard Rain,1795,77,Action,triphylite,Mikael Salomon,zerf
2796,He Got Game,1796,26,Drama,distancy,Spike Lee, xrd
2797,Holy Man,1797,12,Comedy,spinnies,Stephen Herek,gbc
2798,Home Fries,1798,56,Comedy,resmethrin,Dean Parisot,vd
2799,Hope Floats,1799,74,Drama,angledozer,Forest Whitaker,sef
2800,How Stella Got Her Groove Back,1800,12,Comedy,ethoxylate,Kevin Rodney Sullivan,zef
2801,I Got the Hook Up,1801,62,Comedy,ursidae,Michael Martin,zerf
2802,I Still Know What You Did Last Summer,1802,21,Horror,whippowill,Danny Cannon, xrd
2803,Knock Off,1803,92,Action,silurid,Hark Tsui,gbc
2804,La otra conquista,1804,51,Drama,bardiche,Salvador Carrasco,vd
2805,Les couloirs du temps: Les visiteurs II,1805,11,Comedy,logicists,Jean-Marie PoirÃ©,sef
2806,Lethal Weapon 4,1806,23,Action,parroter,Richard Donner,zef
2807,Living Out Loud,1807,61,Comedy,hell-rake,Richard LaGravenese,zerf
2808,"Lock, Stock and Two Smoking Barrels",1808,12,Comedy,triphylite,Guy Ritchie, xrd
2809,Lost in Space,1809,69,Action,distancy,Stephen Hopkins,gbc
2810,Meet Joe Black,1810,98,Drama,spinnies,Martin Brest,vd
2811,Meet the Deedles,1811,18,Comedy,resmethrin,Steve Boyum,sef
2812,Mercury Rising,1812,24,Action,angledozer,Harold Becker,zef
2813,Mighty Joe Young,1813,11,Action,ethoxylate,Ron Underwood,zerf
2814,Mulan,1814,32,Adventure,ursidae,Tony Bancroft, xrd
2815,Naturally Native,1815,88,Drama,whippowill,Jennifer Wynne Farmer,gbc
2816,Next Stop Wonderland,1816,45,Comedy,silurid,Brad Anderson,vd
2817,One True Thing,1817,30,Drama,bardiche,Carl Franklin,sef
2818,Out of Sight,1818,3,Crime,logicists,Steven Soderbergh,zef
2819,Patch Adams,1819,2,Biography,parroter,Tom Shadyac,zerf
2820,Pi,1820,5,Drama,hell-rake,Darren Aronofsky, xrd
2821,Practical Magic,1821,81,Comedy,triphylite,Griffin Dunne,gbc
2822,Primary Colors,1822,44,Comedy,distancy,Mike Nichols,vd
2823,Ronin,1823,14,Action,spinnies,John Frankenheimer,sef
2824,Rounders,1824,81,Crime,resmethrin,John Dahl,zef
2825,Run Lola Run,1825,37,Crime,angledozer,Tom Tykwer,zerf
2826,Rushmore,1826,77,Comedy,ethoxylate,Wes Anderson, xrd
2827,Safe Men,1827,84,Comedy,ursidae,John Hamburg,gbc
2828,Saving Private Ryan,1828,92,Action,whippowill,Steven Spielberg,vd
2829,Shakespeare in Love,1829,85,Comedy,silurid,John Madden,sef
2830,Simon Birch,1830,11,Comedy,bardiche,Mark Steven Johnson,zef
2831,Six Days Seven Nights,1831,88,Action,logicists,Ivan Reitman,zerf
2832,Six-String Samurai,1832,89,Action,parroter,Lance Mungia, xrd
2833,Slam,1833,56,Drama,hell-rake,Marc Levin,gbc
2834,Sliding Doors,1834,78,Comedy,triphylite,Peter Howitt,vd
2835,Slums of Beverly Hills,1835,56,Comedy,distancy,Tamara Jenkins,sef
2836,Small Soldiers,1836,67,Action,spinnies,Joe Dante,zef
2837,Smoke Signals,1837,95,Comedy,resmethrin,Chris Eyre,zerf
2838,Snake Eyes,1838,47,Crime,angledozer,Brian De Palma, xrd
2839,Soldier,1839,4,Action,ethoxylate,Paul W.S. Anderson,gbc
2840,Sphere,1840,81,Drama,ursidae,Barry Levinson,vd
2841,Star Trek: Insurrection,1841,93,Action,whippowill,Jonathan Frakes,sef
2842,Stepmom,1842,81,Comedy,silurid,Chris Columbus,zef
2843,Tango,1843,14,Drama,bardiche,Carlos Saura,zerf
2844,The Big Hit,1844,93,Action,logicists,Kirk Wong, xrd
2845,The Big Lebowski,1845,95,Comedy,parroter,Joel Coen,gbc
2846,The Celebration,1846,43,Drama,hell-rake,Thomas Vinterberg,vd
2847,The Faculty,1847,82,Horror,triphylite,Robert Rodriguez,sef
2848,The Horse Whisperer,1848,1,Drama,distancy,Robert Redford,zef
2849,The Magic Sword: Quest for Camelot,1849,37,Adventure,spinnies,Frederik Du Chau,zerf
2850,The Man in the Iron Mask,1850,52,Action,resmethrin,Randall Wallace, xrd
2851,The Mask of Zorro,1851,92,Action,angledozer,Martin Campbell,gbc
2852,The Negotiator,1852,43,Action,ethoxylate,F. Gary Gray,vd
2853,The Newton Boys,1853,12,Action,ursidae,Richard Linklater,sef
2854,The Object of My Affection,1854,14,Comedy,whippowill,Nicholas Hytner,zef
2855,The Players Club,1855,41,Comedy,silurid,Ice Cube,zerf
2856,The Prince of Egypt,1856,90,Adventure,bardiche,Brenda Chapman, xrd
2857,The Red Violin,1857,56,Drama,logicists,FranÃ§ois Girard,gbc
2858,The Replacement Killers,1858,37,Action,parroter,Antoine Fuqua,vd
2859,The Rugrats Movie,1859,41,Adventure,hell-rake,Igor Kovalyov,sef
2860,The Siege,1860,63,Action,triphylite,Edward Zwick,zef
2861,The Thin Red Line,1861,32,Drama,distancy,Terrence Malick,zerf
2862,The Truman Show,1862,7,Comedy,spinnies,Peter Weir, xrd
2863,The Waterboy,1863,46,Comedy,resmethrin,Frank Coraci,gbc
2864,The X Files,1864,29,Drama,angledozer,Rob Bowman,vd
2865,There's Something About Mary,1865,34,Comedy,ethoxylate,Bobby Farrelly,sef
2866,Urban Legend,1866,39,Horror,ursidae,Jamie Blanks,zef
2867,Vampires,1867,65,Action,whippowill,John Carpenter,zerf
2868,Very Bad Things,1868,28,Comedy,silurid,Peter Berg, xrd
2869,Waking Ned Devine,1869,82,Comedy,bardiche,Kirk Jones,gbc
2870,What Dreams May Come,1870,39,Drama,logicists,Vincent Ward,vd
2871,Wild Things,1871,29,Crime,parroter,John McNaughton,sef
2872,Without Limits,1872,51,Biography,hell-rake,Robert Towne,zef
2873,Woo,1873,74,Comedy,triphylite,Daisy von Scherler Mayer,zerf
2874,You've Got Mail,1874,32,Comedy,distancy,Nora Ephron, xrd
2875,Zero Effect,1875,23,Comedy,spinnies,Jake Kasdan,gbc
2876,10 Things I Hate About You,1876,97,Comedy,resmethrin,Gil Junger,vd
2877,200 Cigarettes,1877,6,Comedy,angledozer,Risa Bramon Garcia,sef
2878,8MM,1878,98,Mystery,ethoxylate,Joel Schumacher,zef
2879,A Dog of Flanders,1879,64,Drama,ursidae,Kevin Brodie,zerf
2880,A Walk on the Moon,1880,43,Drama,whippowill,Tony Goldwyn, xrd
2881,Aimee & Jaguar,1881,56,Biography,silurid,Max FÃ?rberbÃ¶ck,gbc
2882,American Beauty,1882,37,Drama,bardiche,Sam Mendes,vd
2883,American Pie,1883,54,Comedy,logicists,Paul Weitz,sef
2884,An Ideal Husband,1884,60,Comedy,parroter,Oliver Parker,zef
2885,Analyze This,1885,70,Comedy,hell-rake,Harold Ramis,zerf
2886,Angela's Ashes,1886,86,Drama,triphylite,Alan Parker, xrd
2887,Anna and the King,1887,49,Drama,distancy,Andy Tennant,gbc
2888,Any Given Sunday,1888,74,Drama,spinnies,Oliver Stone,vd
2889,Anywhere But Here,1889,19,Comedy,resmethrin,Wayne Wang,sef
2890,Arlington Road,1890,64,Crime,angledozer,Mark Pellington,zef
2891,At First Sight,1891,82,Drama,ethoxylate,Irwin Winkler,zerf
2892,Austin Powers: The Spy Who Shagged Me,1892,4,Action,ursidae,Jay Roach, xrd
2893,Baby Geniuses,1893,33,Comedy,whippowill,Bob Clark,gbc
2894,Bats,1894,12,Horror,silurid,Louis Morneau,vd
2895,Being John Malkovich,1895,77,Comedy,bardiche,Spike Jonze,sef
2896,Beyond the Mat,1896,26,Biography,logicists,Barry W. Blaustein,zef
2897,Bicentennial Man,1897,12,Comedy,parroter,Chris Columbus,zerf
2898,Big Daddy,1898,56,Comedy,hell-rake,Dennis Dugan, xrd
2899,Blast from the Past,1899,74,Comedy,triphylite,Hugh Wilson,gbc
2900,Blue Streak,1900,12,Action,distancy,Les Mayfield,vd
2901,Bowfinger,1901,62,Comedy,spinnies,Frank Oz,sef
2902,Boys Don't Cry,1902,21,Biography,resmethrin,Kimberly Peirce,zef
2903,Breakfast of Champions,1903,92,Comedy,angledozer,Alan Rudolph,zerf
2904,Bringing Out the Dead,1904,51,Drama,ethoxylate,Martin Scorsese, xrd
2905,Brokedown Palace,1905,11,Drama,ursidae,Jonathan Kaplan,gbc
2906,But I'm a Cheerleader,1906,23,Comedy,whippowill,Jamie Babbit,vd
2907,Chill Factor,1907,61,Action,silurid,Hugh Johnson,sef
2908,Cradle Will Rock,1908,12,Drama,bardiche,Tim Robbins,zef
2909,Crazy in Alabama,1909,69,Comedy,logicists,Antonio Banderas,zerf
2910,Cruel Intentions,1910,98,Drama,parroter,Roger Kumble, xrd
2911,Deep Blue Sea,1911,18,Action,hell-rake,Renny Harlin,gbc
2912,Deterrence,1912,24,Drama,triphylite,Rod Lurie,vd
2913,Detroit Rock City,1913,11,Comedy,distancy,Adam Rifkin,sef
2914,Deuce Bigalow: Male Gigolo,1914,32,Comedy,spinnies,Mike Mitchell,zef
2915,Dick,1915,88,Comedy,resmethrin,Andrew Fleming,zerf
2916,Dogma,1916,45,Adventure,angledozer,Kevin Smith, xrd
2917,Double Jeopardy,1917,30,Crime,ethoxylate,Bruce Beresford,gbc
2918,Doug's 1st Movie,1918,3,Animation,ursidae,Maurice Joyce,vd
2919,Dreaming of Joseph Lees,1919,2,Drama,whippowill,Eric Styles,sef
2920,Drive Me Crazy,1920,5,Comedy,silurid,John Schultz,zef
2921,Drop Dead Gorgeous,1921,81,Comedy,bardiche,Michael Patrick Jann,zerf
2922,Dudley Do-Right,1922,44,Comedy,logicists,Hugh Wilson, xrd
2923,East Is East,1923,14,Comedy,parroter,Damien O'Donnell,gbc
2924,Edtv,1924,81,Comedy,hell-rake,Ron Howard,vd
2925,Election,1925,37,Comedy,triphylite,Alexander Payne,sef
2926,End of Days,1926,77,Action,distancy,Peter Hyams,zef
2927,Entrapment,1927,84,Action,spinnies,Jon Amiel,zerf
2928,eXistenZ,1928,92,Horror,resmethrin,David Cronenberg, xrd
2929,Eye of the Beholder,1929,85,Drama,angledozer,Stephan Elliott,gbc
2930,Eyes Wide Shut,1930,11,Drama,ethoxylate,Stanley Kubrick,vd
2931,Fantasia 2000,1931,88,Animation,ursidae,James Algar,sef
2932,Fight Club,1932,89,Drama,whippowill,David Fincher,zef
2933,Flawless,1933,56,Comedy,silurid,Joel Schumacher,zerf
2934,Foolish,1934,78,Comedy,bardiche,Dave Meyers, xrd
2935,For Love of the Game,1935,56,Drama,logicists,Sam Raimi,gbc
2936,Galaxy Quest,1936,67,Adventure,parroter,Dean Parisot,vd
2937,"Girl, Interrupted",1937,95,Biography,hell-rake,James Mangold,sef
2938,Go,1938,47,Comedy,triphylite,Doug Liman,zef
2939,Godzilla 2000,1939,4,Action,distancy,Takao Okawara,zerf
2940,"Happy, Texas",1940,81,Comedy,spinnies,Mark Illsley, xrd
2941,Held Up,1941,93,Comedy,resmethrin,Steve Rash,gbc
2942,House on Haunted Hill,1942,81,Horror,angledozer,William Malone,vd
2943,Human Traffic,1943,14,Comedy,ethoxylate,Justin Kerrigan,sef
2944,Idle Hands,1944,93,Comedy,ursidae,Rodman Flender,zef
2945,In Dreams,1945,95,Drama,whippowill,Neil Jordan,zerf
2946,In Too Deep,1946,43,Crime,silurid,Michael Rymer, xrd
2947,Inspector Gadget,1947,82,Action,bardiche,David Kellogg,gbc
2948,Instinct,1948,1,Drama,logicists,Jon Turteltaub,vd
2949,Jakob the Liar,1949,37,Drama,parroter,Peter Kassovitz,sef
2950,Jawbreaker,1950,52,Comedy,hell-rake,Darren Stein,zef
2951,Jesus' Son,1951,92,Drama,triphylite,Alison Maclean,zerf
2952,Just Looking,1952,43,Comedy,distancy,Jason Alexander, xrd
2953,Lake Placid,1953,12,Action,spinnies,Steve Miner,gbc
2954,Light It Up,1954,14,Drama,resmethrin,Craig Bolotin,vd
2955,Limbo,1955,41,Adventure,angledozer,John Sayles,sef
2956,Love Stinks,1956,90,Comedy,ethoxylate,Jeff Franklin,zef
2957,Magnolia,1957,56,Drama,ursidae,Paul Thomas Anderson,zerf
2958,Man on the Moon,1958,37,Biography,whippowill,Milos Forman, xrd
2959,Message in a Bottle,1959,41,Drama,silurid,Luis Mandoki,gbc
2960,Mickey Blue Eyes,1960,63,Comedy,bardiche,Kelly Makin,vd
2961,Molly,1961,32,Comedy,logicists,John Duigan,sef
2962,Mumford,1962,7,Comedy,parroter,Lawrence Kasdan,zef
2963,Muppets from Space,1963,46,Adventure,hell-rake,Tim Hill,zerf
2964,My Favorite Martian,1964,29,Comedy,triphylite,Donald Petrie, xrd
2965,Mystery Men,1965,34,Action,distancy,Kinka Usher,gbc
2966,"Mystery, Alaska",1966,39,Comedy,spinnies,Jay Roach,vd
2967,Notting Hill,1967,65,Comedy,resmethrin,Roger Michell,sef
2968,Office Space,1968,28,Comedy,angledozer,Mike Judge,zef
2969,One Man's Hero,1969,82,Action,ethoxylate,Lance Hool,zerf
2970,Outside Providence,1970,39,Comedy,ursidae,Michael Corrente, xrd
2971,Payback,1971,29,Action,whippowill,Brian Helgeland,gbc
2972,Play It to the Bone,1972,51,Comedy,silurid,Ron Shelton,vd
2973,Pushing Tin,1973,74,Comedy,bardiche,Mike Newell,sef
2974,Random Hearts,1974,32,Drama,logicists,Sydney Pollack,zef
2975,Ravenous,1975,23,Fantasy,parroter,Antonia Bird,zerf
2976,Ride with the Devil,1976,97,Drama,hell-rake,Ang Lee, xrd
2977,Runaway Bride,1977,6,Comedy,triphylite,Garry Marshall,gbc
2978,She's All That,1978,98,Comedy,distancy,Robert Iscove,vd
2979,Simply Irresistible,1979,64,Comedy,spinnies,Mark Tarlov,sef
2980,Smiling Fish & Goat on Fire,1980,43,Comedy,resmethrin,Kevin Jordan,zef
2981,Snow Falling on Cedars,1981,56,Drama,angledozer,Scott Hicks,zerf
2982,South Park: Bigger Longer & Uncut,1982,37,Animation,ethoxylate,Trey Parker, xrd
2983,Star Wars: Episode I - The Phantom Menace,1983,54,Action,ursidae,George Lucas,gbc
2984,Stigmata,1984,60,Horror,whippowill,Rupert Wainwright,vd
2985,Stir of Echoes,1985,70,Horror,silurid,David Koepp,sef
2986,Stuart Little,1986,86,Adventure,bardiche,Rob Minkoff,zef
2987,Sugar Town,1987,49,Comedy,logicists,Allison Anders,zerf
2988,Summer of Sam,1988,74,Crime,parroter,Spike Lee, xrd
2989,Superstar,1989,19,Comedy,hell-rake,Bruce McCulloch,gbc
2990,Tea with Mussolini,1990,64,Comedy,triphylite,Franco Zeffirelli,vd
2991,The 13th Warrior,1991,82,Action,distancy,John McTiernan,sef
2992,The Adventures of Elmo in Grouchland,1992,4,Adventure,spinnies,Gary Halvorson,zef
2993,The Astronaut's Wife,1993,33,Drama,resmethrin,Rand Ravich,zerf
2994,The Basket,1994,12,Drama,angledozer,Rich Cowan, xrd
2995,The Best Man,1995,77,Comedy,ethoxylate,Malcolm D. Lee,gbc
2996,The Big Tease,1996,26,Comedy,ursidae,Kevin Allen,vd
2997,The Blair Witch Project,1997,12,Horror,whippowill,Daniel Myrick,sef
2998,The Bone Collector,1998,56,Crime,silurid,Phillip Noyce,zef
2999,The Corruptor,1999,74,Action,bardiche,James Foley,zerf
3000,The Deep End of the Ocean,2000,12,Drama,logicists,Ulu Grosbard, xrd
3001,The End of the Affair,2001,62,Drama,parroter,Neil Jordan,gbc
3002,The General's Daughter,2002,21,Drama,hell-rake,Simon West,vd
3003,The Green Mile,2003,92,Crime,triphylite,Frank Darabont,sef
3004,The Haunting,2004,51,Fantasy,distancy,Jan de Bont,zef
3005,The Hurricane,2005,11,Biography,spinnies,Norman Jewison,zerf
3006,The Insider,2006,23,Biography,resmethrin,Michael Mann, xrd
3007,The Iron Giant,2007,61,Action,angledozer,Brad Bird,gbc
3008,The Limey,2008,12,Crime,ethoxylate,Steven Soderbergh,vd
3009,The Loss of Sexual Innocence,2009,69,Drama,ursidae,Mike Figgis,sef
3010,The Matrix,2010,98,Action,whippowill,Lana Wachowski,zef
3011,The Messenger: The Story of Joan of Arc,2011,18,Adventure,silurid,Luc Besson,zerf
3012,The Muse,2012,24,Comedy,bardiche,Albert Brooks, xrd
3013,The Ninth Gate,2013,11,Mystery,logicists,Roman Polanski,gbc
3014,The Omega Code,2014,32,Action,parroter,Robert Marcarelli,vd
3015,The Out-of-Towners,2015,88,Comedy,hell-rake,Sam Weisman,sef
3016,The Rage: Carrie 2,2016,45,Horror,triphylite,Katt Shea,zef
3017,The Sixth Sense,2017,30,Drama,distancy,M. Night Shyamalan,zerf
3018,The Story of Us,2018,3,Comedy,spinnies,Rob Reiner, xrd
3019,The Straight Story,2019,2,Biography,resmethrin,David Lynch,gbc
3020,The Talented Mr. Ripley,2020,5,Crime,angledozer,Anthony Minghella,vd
3021,The Thirteenth Floor,2021,81,Mystery,ethoxylate,Josef Rusnak,sef
3022,The Thomas Crown Affair,2022,44,Crime,ursidae,John McTiernan,zef
3023,The Virgin Suicides,2023,14,Drama,whippowill,Sofia Coppola,zerf
3024,The Woman Chaser,2024,81,Comedy,silurid,Robinson Devor, xrd
3025,The Wood,2025,37,Comedy,bardiche,Rick Famuyiwa,gbc
3026,The World Is Not Enough,2026,77,Action,logicists,Michael Apted,vd
3027,Three Kings,2027,84,Action,parroter,David O. Russell,sef
3028,Three to Tango,2028,92,Comedy,hell-rake,Damon Santostefano,zef
3029,Topsy-Turvy,2029,85,Biography,triphylite,Mike Leigh,zerf
3030,Toy Story 2,2030,11,Adventure,distancy,John Lasseter, xrd
3031,Tumbleweeds,2031,88,Comedy,spinnies,Gavin O'Connor,gbc
3032,Twin Falls Idaho,2032,89,Drama,resmethrin,Michael Polish,vd
3033,Universal Soldier: The Return,2033,56,Action,angledozer,Mic Rodgers,sef
3034,Varsity Blues,2034,78,Comedy,ethoxylate,Brian Robbins,zef
3035,Wild Wild West,2035,56,Action,ursidae,Barry Sonnenfeld,zerf
3036,Wing Commander,2036,67,Action,whippowill,Chris Roberts, xrd
3037,102 Dalmatians,2037,95,Adventure,silurid,Kevin Lima,gbc
3038,28 Days,2038,47,Comedy,bardiche,Betty Thomas,vd
3039,3 Strikes,2039,4,Comedy,logicists,DJ Pooh,sef
3040,Aberdeen,2040,81,Drama,parroter,Hans Petter Moland,zef
3041,All the Pretty Horses,2041,93,Drama,hell-rake,Billy Bob Thornton,zerf
3042,Almost Famous,2042,81,Adventure,triphylite,Cameron Crowe, xrd
3043,American Psycho,2043,14,Crime,distancy,Mary Harron,gbc
3044,Amores Perros,2044,93,Drama,spinnies,Alejandro G. IÃ±Ã¡rritu,vd
3045,An Everlasting Piece,2045,95,Comedy,resmethrin,Barry Levinson,sef
3046,Anatomy,2046,43,Horror,angledozer,Stefan Ruzowitzky,zef
3047,Autumn in New York,2047,82,Drama,ethoxylate,Joan Chen,zerf
3048,Bamboozled,2048,1,Comedy,ursidae,Spike Lee, xrd
3049,Battlefield Earth,2049,37,Action,whippowill,Roger Christian,gbc
3050,Bedazzled,2050,52,Comedy,silurid,Harold Ramis,vd
3051,Best in Show,2051,92,Comedy,bardiche,Christopher Guest,sef
3052,Big Momma's House,2052,43,Action,logicists,Raja Gosnell,zef
3053,Billy Elliot,2053,12,Drama,parroter,Stephen Daldry,zerf
3054,Bless the Child,2054,14,Crime,hell-rake,Chuck Russell, xrd
3055,Boiler Room,2055,41,Crime,triphylite,Ben Younger,gbc
3056,Book of Shadows: Blair Witch 2,2056,90,Adventure,distancy,Joe Berlinger,vd
3057,Boys and Girls,2057,56,Comedy,spinnies,Robert Iscove,sef
3058,Bring It On,2058,37,Comedy,resmethrin,Peyton Reed,zef
3059,Brother,2059,41,Crime,angledozer,Takeshi Kitano,zerf
3060,Cast Away,2060,63,Adventure,ethoxylate,Robert Zemeckis, xrd
3061,Cecil B. DeMented,2061,32,Comedy,ursidae,John Waters,gbc
3062,Center Stage,2062,7,Drama,whippowill,Nicholas Hytner,vd
3063,Charlie's Angels,2063,46,Action,silurid,McG,sef
3064,Chicken Run,2064,29,Adventure,bardiche,Peter Lord,zef
3065,Chocolat,2065,34,Drama,logicists,Lasse HallstrÃ¶m,zerf
3066,Chuck & Buck,2066,39,Comedy,parroter,Miguel Arteta, xrd
3067,Coyote Ugly,2067,65,Comedy,hell-rake,David McNally,gbc
3068,"Crouching Tiger, Hidden Dragon",2068,28,Action,triphylite,Ang Lee,vd
3069,Dancer in the Dark,2069,82,Crime,distancy,Lars von Trier,sef
3070,Digimon: The Movie,2070,39,Action,spinnies,Mamoru Hosoda,zef
3071,Dinosaur,2071,29,Adventure,resmethrin,Eric Leighton,zerf
3072,Down to You,2072,51,Comedy,angledozer,Kris Isacsson, xrd
3073,Dracula 2000,2073,74,Action,ethoxylate,Patrick Lussier,gbc
3074,Drowning Mona,2074,32,Comedy,ursidae,Nick Gomez,vd
3075,"Dude, Where's My Car?",2075,23,Comedy,whippowill,Danny Leiner,sef
3076,Duets,2076,97,Comedy,silurid,Bruce Paltrow,zef
3077,Erin Brockovich,2077,6,Biography,bardiche,Steven Soderbergh,zerf
3078,Final Destination,2078,98,Horror,logicists,James Wong, xrd
3079,Finding Forrester,2079,64,Drama,parroter,Gus Van Sant,gbc
3080,Fiza,2080,43,Drama,hell-rake,Khalid Mohamed,vd
3081,Frequency,2081,56,Crime,triphylite,Gregory Hoblit,sef
3082,George Washington,2082,37,Drama,distancy,David Gordon Green,zef
3083,Get Carter,2083,54,Action,spinnies,Stephen Kay,zerf
3084,Gladiator,2084,60,Action,resmethrin,Ridley Scott, xrd
3085,Gone in Sixty Seconds,2085,70,Action,angledozer,Dominic Sena,gbc
3086,Gossip,2086,86,Drama,ethoxylate,Davis Guggenheim,vd
