MGenreNumber,MTitle,MoN,MGenre,MGenreFBLikes
9896,The Usual Suspects,1548,Crumusic,20821
9897,Things to Do in Denver When You're Dead,1549,Crumusic,14889
9898,To Die For,1550,Nolaughz,3598
9899,Toy Story,1551,Lalaventuretune,19046
9900,Under Siege 2: Dark Territory,1552,GoGoTunage,2318
9901,Vampire in Brooklyn,1553,Nolaughz,2348
9902,Virtuosity,1554,GoGoTunage,20772
9903,Waterworld,1555,GoGoTunage,1004
9904,Welcome to the Dollhouse,1556,Nolaughz,1502
9905,A Thin Line Between Love and Hate,1557,Nolaughz,3023
9906,A Time to Kill,1558,Crumusic,31349
9907,Albino Alligator,1559,Crumusic,13718
9908,Basquiat,1560,LifzMoosik,11459
9909,Beavis and Butt-Head Do America,1561,Lalaventuretune,17035
9910,Blood and Wine,1562,Crumusic,2228
9911,Bogus,1563,Nolaughz,3864
9912,Bottle Rocket,1564,Nolaughz,648
9913,Bound,1565,Crumusic,3668
9914,Broken Arrow,1566,GoGoTunage,2913
9915,Chain ReGoGoTunage,1567,GoGoTunage,31014
9916,City Hall,1568,Dreemaa,17877
9917,Courage Under Fire,1569,GoGoTunage,33233
9918,Daylight,1570,GoGoTunage,25126
9919,DragonHeart,1571,GoGoTunage,2710
9920,Eraser,1572,GoGoTunage,3454
9921,Escape from L.A.,1573,GoGoTunage,15935
9922,Everyone Says I Love You,1574,Nolaughz,1614
9923,Evita,1575,LifzMoosik,164
9924,Executive Decision,1576,GoGoTunage,2916
9925,Extreme Measures,1577,Crumusic,24547
9926,Eye for an Eye,1578,Crumusic,3174
9927,Faithful,1579,Nolaughz,1679
9928,Fled,1580,GoGoTunage,6152
9929,Flipper,1581,Lalaventuretune,616
9930,Flirting with Disaster,1582,Nolaughz,2240
9931,From Dusk Till Dawn,1583,Crumusic,23296
9932,Get on the Bus,1584,Dreemaa,5963
9933,Ghosts of Mississippi,1585,Dreemaa,3968
9934,Girl 6,1586,Nolaughz,4497
9935,Hamlet,1587,Dreemaa,1645
9936,Happy Gilmore,1588,Nolaughz,13162
9937,Harriet the Spy,1589,Nolaughz,2486
9938,Independence Day,1590,GoGoTunage,16785
9939,Jerry Maguire,1591,Nolaughz,12182
9940,Jingle All the Way,1592,Nolaughz,4530
9941,Kama Sutra: A Tale of Love,1593,Crumusic,1292
9942,Kansas City,1594,Crumusic,14579
9943,Kingpin,1595,Nolaughz,16937
9944,Lone Star,1596,Dreemaa,11400
9945,Love and Other Catastrophes,1597,Nolaughz,1661
9946,Mars Attacks!,1598,GoGoTunage,22590
9947,Marvin's Room,1599,Dreemaa,63194
9948,Mary Reilly,1600,Dreemaa,8349
9949,Maximum Risk,1601,GoGoTunage,1634
9950,Michael Collins,1602,LifzMoosik,48482
9951,Mission: Impossible,1603,GoGoTunage,12760
9952,Mrs. Winterbourne,1604,Nolaughz,5023
9953,Multiplicity,1605,Nolaughz,2348
9954,My Fellow Americans,1606,Lalaventuretune,4629
9955,Phenomenon,1607,Dreemaa,5975
9956,Ransom,1608,Crumusic,3667
9957,Romeo + Juliet,1609,Dreemaa,33791
9958,Scream,1610,NegativeMusic,1212
9959,Set It Off,1611,GoGoTunage,3661
9960,Sgt. Bilko,1612,Nolaughz,2176
9961,She's the One,1613,Nolaughz,995
9962,Shine,1614,LifzMoosik,888
9963,Sleepers,1615,Crumusic,37076
9964,Sling Blade,1616,Dreemaa,3967
9965,Space Jam,1617,Lalaventuretune,15001
9966,Spy Hard,1618,GoGoTunage,2653
9967,Star Trek: First Contact,1619,GoGoTunage,6315
9968,Striptease,1620,Nolaughz,3016
9969,Swingers,1621,Nolaughz,4230
9970,That Thing You Do!,1622,Nolaughz,28713
9971,The Lalaventuretunes of Pinocchio,1623,Lalaventuretune,2465
9972,The Cable Guy,1624,Nolaughz,3718
9973,The Craft,1625,Dreemaa,1812
9974,The English Patient,1626,Dreemaa,15912
9975,The Fan,1627,GoGoTunage,24618
9976,The First Wives Club,1628,Nolaughz,3143
9977,The Funeral,1629,Crumusic,3337
9978,The Ghost and the Darkness,1630,Lalaventuretune,1752
9979,The Glimmer Man,1631,GoGoTunage,3855
9980,The Hunchback of Notre Dame,1632,Animation,4842
9981,The Island of Dr. Moreau,1633,NegativeMusic,10469
9982,The Juror,1634,Dreemaa,26907
9983,The Long Kiss Goodnight,1635,GoGoTunage,1531
9984,The Mirror Has Two Faces,1636,Nolaughz,13716
9985,The Nutty Professor,1637,Nolaughz,3155
9986,The Phantom,1638,GoGoTunage,3855
9987,The Rock,1639,GoGoTunage,15999
9988,Thinner,1640,Frufrulittle,2777
9989,Tin Cup,1641,Nolaughz,3648
9990,Trainspotting,1642,Dreemaa,3559
9991,Trees Lounge,1643,Nolaughz,14420
9992,Twister,1644,GoGoTunage,26239
9993,Up Close & Personal,1645,Dreemaa,3653
9994,Waiting for Guffman,1646,Nolaughz,3559
9995,Walking and Talking,1647,Nolaughz,2400
9996,When the Cat's Away,1648,Nolaughz,102
9997,White Squall,1649,Lalaventuretune,16237
9998,8 Heads in a Duffel Bag,1650,Nolaughz,1363
9999,A Simple Wish,1651,Nolaughz,5535
10000,Absolute Power,1652,GoGoTunage,19139
10001,Air Bud,1653,Nolaughz,4277
10002,Air Force One,1654,GoGoTunage,23603
10003,Alien: Resurrection,1655,GoGoTunage,3090
10004,Amistad,1656,Dreemaa,37570
10005,An Alan Smithee Film: Burn Hollywood Burn,1657,Nolaughz,2655
10006,Anaconda,1658,GoGoTunage,3717
10007,Anastasia,1659,Lalaventuretune,6017
10008,As Good as It Gets,1660,Nolaughz,1474
10009,Austin Powers: International Man of Mystery,1661,Nolaughz,10557
10010,Batman & Robin,1662,GoGoTunage,2699
10011,Boogie Nights,1663,Dreemaa,3677
10012,Breakdown,1664,GoGoTunage,1874
10013,Cats Don't Dance,1665,Animation,7394
10014,Character,1666,Crumusic,48
10015,Chasing Amy,1667,Nolaughz,15765
10016,Children of Heaven,1668,Dreemaa,100
10017,Con Air,1669,GoGoTunage,15362
10018,Conspiracy Theory,1670,GoGoTunage,8355
10019,Contact,1671,Dreemaa,12289
10020,Cop Land,1672,Crumusic,40117
10021,Critical Care,1673,Nolaughz,3099
10022,Cube,1674,Mystery,1743
10023,Dante's Peak,1675,GoGoTunage,1569
10024,Deconstructing Harry,1676,Nolaughz,11867
10025,Donnie Brasco,1677,LifzMoosik,56014
10026,Dream with the Fishes,1678,Nolaughz,1692
10027,Event Horizon,1679,NegativeMusic,2525
10028,Eve's Bayou,1680,Dreemaa,3843
10029,Face/Off,1681,GoGoTunage,17087
10030,"First Love, Last Rites",1682,Dreemaa,751
10031,Flubber,1683,Nolaughz,50005
10032,G.I. Jane,1684,GoGoTunage,15569
10033,Gattaca,1685,Dreemaa,1942
10034,George of the Jungle,1686,GoGoTunage,4518
10035,Good Will Hunting,1687,Dreemaa,63710
10036,Grosse Pointe Blank,1688,GoGoTunage,2044
10037,Hav Plenty,1689,Nolaughz,714
10038,Hurricane Streets,1690,Crumusic,2322
10039,I Know What You Did Last Summer,1691,NegativeMusic,50284
10040,I Married a Strange Person!,1692,Animation,7
10041,In & Out,1693,Nolaughz,23504
10042,In the Company of Men,1694,Nolaughz,254
10043,Jackie Brown,1695,Crumusic,25522
10044,Kiss the Girls,1696,Crumusic,14322
10045,Kundun,1697,LifzMoosik,4
10046,L.A. Confidential,1698,Crumusic,19129
10047,Liar Liar,1699,Nolaughz,2070
10048,Love Jones,1700,Dreemaa,3871
10049,Mad City,1701,Crumusic,2606
10050,Men in Black,1702,Lalaventuretune,12998
10051,Midnight in the Garden of Good and Evil,1703,Crumusic,19689
10052,Money Talks,1704,GoGoTunage,2530
10053,Mortal Kombat: Annihilation,1705,GoGoTunage,2266
10054,My Best Friend's Wedding,1706,Nolaughz,12344
10055,Nothing to Lose,1707,GoGoTunage,2457
10056,Orgazmo,1708,Nolaughz,904
10057,Oscar and Lucinda,1709,Dreemaa,2004
10058,Prefontaine,1710,LifzMoosik,1610
10059,Princess Mononoke,1711,Lalaventuretune,2710
10060,Scream 2,1712,NegativeMusic,2321
10061,Selena,1713,LifzMoosik,1735
10062,Seven Years in Tibet,1714,Lalaventuretune,12226
10063,Shadow Conspiracy,1715,GoGoTunage,2457
10064,Shooting Fish,1716,Nolaughz,975
10065,Smilla's Sense of Snow,1717,GoGoTunage,3125
10066,Soul Food,1718,Nolaughz,4737
10067,Spawn,1719,GoGoTunage,7039
10068,Speed 2: Cruise Control,1720,GoGoTunage,2027
10069,Spice World,1721,Nolaughz,2176
10070,Starship Troopers,1722,GoGoTunage,2031
10071,Steel,1723,GoGoTunage,3100
10072,Switchback,1724,Crumusic,74
10073,The Apostle,1725,Dreemaa,428
10074,The Borrowers,1726,Lalaventuretune,2056
10075,The Cure,1727,Crumusic,115
10076,The Devil's Advocate,1728,Dreemaa,45271
10077,The Devil's Own,1729,GoGoTunage,26088
10078,The Fifth Element,1730,GoGoTunage,39319
10079,The Full Monty,1731,Nolaughz,2323
10080,The Game,1732,Dreemaa,1397
10081,The Ice Storm,1733,Dreemaa,1466
10082,The Jackal,1734,GoGoTunage,38227
10083,The Last Time I Committed Suicide,1735,LifzMoosik,20135
10084,The Lost World: Jurassic Park,1736,GoGoTunage,1635
10085,The Man Who Knew Too Little,1737,GoGoTunage,15183
10086,The Peacemaker,1738,GoGoTunage,1289
10087,The Postman,1739,GoGoTunage,4346
10088,The Rainmaker,1740,Crumusic,16762
10089,The Relic,1741,NegativeMusic,1976
10090,The Saint,1742,GoGoTunage,475
10091,The Spanish Prisoner,1743,Dreemaa,1722
10092,The Sticky Fingers of Time,1744,Techspacefun,154
10093,The Sweet Hereafter,1745,Dreemaa,2820
10094,The Swindle,1746,Nolaughz,1256
10095,Titanic,1747,Dreemaa,45223
10096,Tomorrow Never Dies,1748,GoGoTunage,2958
10097,Trekkies,1749,Documentary,2864
10098,Turbulence,1750,GoGoTunage,3952
10099,Two Girls and a Guy,1751,Nolaughz,21124
10100,Ulee's Gold,1752,Dreemaa,787
10101,Volcano,1753,GoGoTunage,5062
10102,Wag the Dog,1754,Nolaughz,29252
10103,Warriors of Virtue,1755,GoGoTunage,1993
10104,20 Dates,1756,LifzMoosik,1362
10105,54,1757,Dreemaa,6910
10106,A Bug's Life,1758,Lalaventuretune,24205
10107,A Civil GoGoTunage,1759,Dreemaa,4713
10108,A Night at the Roxbury,1760,Nolaughz,9271
10109,A Simple Plan,1761,Crumusic,2365
10110,American History X,1762,Crumusic,3858
10111,Among Giants,1763,Nolaughz,643
10112,Antz,1764,Lalaventuretune,25788
10113,Armageddon,1765,GoGoTunage,26029
10114,Babe: Pig in the City,1766,Lalaventuretune,2521
10115,Barney's Great Lalaventuretune,1767,Lalaventuretune,1139
10116,Beloved,1768,Dreemaa,2397
10117,Blade,1769,GoGoTunage,3174
10118,Bride of Chucky,1770,Nolaughz,667
10119,Broken Vessels,1771,Dreemaa,2288
10120,Buffalo '66,1772,Nolaughz,4762
10121,Bulworth,1773,Nolaughz,1023
10122,Can't Hardly Wait,1774,Nolaughz,4259
10123,Celebrity,1775,Nolaughz,943
10124,Central Station,1776,Dreemaa,167
10125,Chairman of the Board,1777,Nolaughz,5213
10126,City of Angels,1778,Dreemaa,13905
10127,Clay Pigeons,1779,Nolaughz,1795
10128,Dark City,1780,GoGoTunage,4696
10129,Dead Man on Campus,1781,Nolaughz,6861
10130,Deep Impact,1782,GoGoTunage,22750
10131,Deep Rising,1783,GoGoTunage,6558
10132,Desert Blue,1784,Dreemaa,3207
10133,Dirty Work,1785,Nolaughz,1805
10134,Disturbing Behavior,1786,NegativeMusic,4660
10135,Doctor Dolittle,1787,Nolaughz,4166
10136,Elizabeth,1788,LifzMoosik,1006
10137,Enemy of the State,1789,GoGoTunage,11951
10138,Ever After: A Cinderella Story,1790,Nolaughz,2747
10139,Fear and Loathing in Las Vegas,1791,Lalaventuretune,43105
10140,Gods and Monsters,1792,LifzMoosik,4238
10141,Half Baked,1793,Nolaughz,2400
10142,Happiness,1794,Nolaughz,36859
10143,Hard Rain,1795,GoGoTunage,13628
10144,He Got Game,1796,Dreemaa,37315
10145,Holy Man,1797,Nolaughz,2367
10146,Home Fries,1798,Nolaughz,2913
10147,Hope Floats,1799,Dreemaa,2860
10148,How Stella Got Her Groove Back,1800,Nolaughz,1660
10149,I Got the Hook Up,1801,Nolaughz,987
10150,I Still Know What You Did Last Summer,1802,NegativeMusic,49847
10151,Knock Off,1803,GoGoTunage,1352
10152,La otra conquista,1804,Dreemaa,222
10153,Les couloirs du temps: Les visiteurs II,1805,Nolaughz,182
10154,Lethal Weapon 4,1806,GoGoTunage,6171
10155,Living Out Loud,1807,Nolaughz,3250
10156,"Lock, Stock and Two Smoking Barrels",1808,Nolaughz,28294
10157,Lost in Space,1809,GoGoTunage,12186
10158,Meet Joe Black,1810,Dreemaa,23950
10159,Meet the Deedles,1811,Nolaughz,24436
10160,Mercury Rising,1812,GoGoTunage,16536
10161,Mighty Joe Young,1813,GoGoTunage,10731
10162,Mulan,1814,Lalaventuretune,4478
10163,Naturally Native,1815,Dreemaa,1763
10164,Next Stop Wonderland,1816,Nolaughz,23461
10165,One True Thing,1817,Dreemaa,12785
10166,Out of Sight,1818,Crumusic,3768
10167,Patch Adams,1819,LifzMoosik,74382
10168,Pi,1820,Dreemaa,2065
10169,Practical Magic,1821,Nolaughz,4294
10170,Primary Colors,1822,Nolaughz,1409
10171,Ronin,1823,GoGoTunage,24270
10172,Rounders,1824,Crumusic,14890
10173,Run Lola Run,1825,Crumusic,623
10174,Rushmore,1826,Nolaughz,15716
10175,Safe Men,1827,Nolaughz,1141
10176,Saving Private Ryan,1828,GoGoTunage,44998
10177,Shakespeare in Love,1829,Nolaughz,1690
10178,Simon Birch,1830,Nolaughz,1816
10179,Six Days Seven Nights,1831,GoGoTunage,12729
10180,Six-String Samurai,1832,GoGoTunage,36
10181,Slam,1833,Dreemaa,295
10182,Sliding Doors,1834,Nolaughz,1462
10183,Slums of Beverly Hills,1835,Nolaughz,2691
10184,Small Soldiers,1836,GoGoTunage,8610
10185,Smoke Signals,1837,Nolaughz,3163
10186,Snake Eyes,1838,Crumusic,15269
10187,Soldier,1839,GoGoTunage,2542
10188,Sphere,1840,Dreemaa,1044
10189,Star Trek: Insurrection,1841,GoGoTunage,6207
10190,Stepmom,1842,Nolaughz,9988
10191,Tango,1843,Dreemaa,371
10192,The Big Hit,1844,GoGoTunage,3353
10193,The Big Lebowski,1845,Nolaughz,47728
10194,The Celebration,1846,Dreemaa,821
10195,The Faculty,1847,NegativeMusic,12170
10196,The Horse Whisperer,1848,Dreemaa,20683
10197,The Magic Sword: Quest for Camelot,1849,Lalaventuretune,14275
10198,The Man in the Iron Mask,1850,GoGoTunage,29265
10199,The Mask of Zorro,1851,GoGoTunage,12396
10200,The Negotiator,1852,GoGoTunage,20152
10201,The Newton Boys,1853,GoGoTunage,11969
10202,The Object of My Affection,1854,Nolaughz,1450
10203,The Players Club,1855,Nolaughz,2868
10204,The Prince of Egypt,1856,Lalaventuretune,1195
10205,The Red Violin,1857,Dreemaa,29
10206,The Replacement Killers,1858,GoGoTunage,3072
10207,The Rugrats Movie,1859,Lalaventuretune,3438
10208,The Siege,1860,GoGoTunage,32563
10209,The Thin Red Line,1861,Dreemaa,1937
10210,The Truman Show,1862,Nolaughz,3698
10211,The Waterboy,1863,Nolaughz,13823
10212,The X Files,1864,Dreemaa,4230
10213,There's Something About Mary,1865,Nolaughz,4664
10214,Urban Legend,1866,NegativeMusic,3500
10215,Vampires,1867,GoGoTunage,5123
10216,Very Bad Things,1868,Nolaughz,6046
10217,Waking Ned Devine,1869,Nolaughz,1965
10218,What Dreams May Come,1870,Dreemaa,49631
10219,Wild Things,1871,Crumusic,14275
10220,Without Limits,1872,LifzMoosik,4351
10221,Woo,1873,Nolaughz,3352
10222,You've Got Mail,1874,Nolaughz,17768
10223,Zero Effect,1875,Nolaughz,1209
10224,10 Things I Hate About You,1876,Nolaughz,37907
10225,200 Cigarettes,1877,Nolaughz,2697
10226,8MM,1878,Mystery,12970
10227,A Dog of Flanders,1879,Dreemaa,1906
10228,A Walk on the Moon,1880,Dreemaa,10368
10229,Aimee & Jaguar,1881,LifzMoosik,333
10230,American Beauty,1882,Dreemaa,19078
10231,American Pie,1883,Nolaughz,8134
10232,An Ideal Husband,1884,Nolaughz,2640
10233,Analyze This,1885,Nolaughz,24333
10234,Angela's Ashes,1886,Dreemaa,1282
10235,Anna and the King,1887,Dreemaa,804
10236,Any Given Sunday,1888,Dreemaa,20761
10237,Anywhere But Here,1889,Nolaughz,22040
10238,Arlington Road,1890,Crumusic,13576
10239,At First Sight,1891,Dreemaa,3821
10240,Austin Powers: The Spy Who Shagged Me,1892,GoGoTunage,47203
10241,Baby Geniuses,1893,Nolaughz,2936
10242,Bats,1894,NegativeMusic,1405
10243,Being John Malkovich,1895,Nolaughz,1171
10244,Beyond the Mat,1896,LifzMoosik,194
10245,Bicentennial Man,1897,Nolaughz,55254
10246,Big Daddy,1898,Nolaughz,26760
10247,Blast from the Past,1899,Nolaughz,5709
10248,Blue Streak,1900,GoGoTunage,2986
10249,Bowfinger,1901,Nolaughz,22458
10250,Boys Don't Cry,1902,LifzMoosik,563
10251,Breakfast of Champions,1903,Nolaughz,17417
10252,Bringing Out the Dead,1904,Dreemaa,13040
10253,Brokedown Palace,1905,Dreemaa,582
10254,But I'm a Cheerleader,1906,Nolaughz,4289
10255,Chill Factor,1907,GoGoTunage,1274
10256,Cradle Will Rock,1908,Dreemaa,16878
10257,Crazy in Alabama,1909,Nolaughz,4834
10258,Cruel Intentions,1910,Dreemaa,6223
10259,Deep Blue Sea,1911,GoGoTunage,3697
10260,Deterrence,1912,Dreemaa,1983
10261,Detroit Rock City,1913,Nolaughz,2518
10262,Deuce Bigalow: Male Gigolo,1914,Nolaughz,2604
10263,Dick,1915,Nolaughz,31005
10264,Dogma,1916,Lalaventuretune,16693
10265,Double Jeopardy,1917,Crumusic,2129
10266,Doug's 1st Movie,1918,Animation,2908
10267,Dreaming of Joseph Lees,1919,Dreemaa,2020
10268,Drive Me Crazy,1920,Nolaughz,1760
10269,Drop Dead Gorgeous,1921,Nolaughz,6388
10270,Dudley Do-Right,1922,Nolaughz,5568
10271,East Is East,1923,Nolaughz,1616
10272,Edtv,1924,Nolaughz,15275
10273,Election,1925,Nolaughz,3516
10274,End of Days,1926,GoGoTunage,3903
10275,Entrapment,1927,GoGoTunage,1302
10276,eXistenZ,1928,NegativeMusic,2990
10277,Eye of the Beholder,1929,Dreemaa,1069
10278,Eyes Wide Shut,1930,Dreemaa,11424
10279,Fantasia 2000,1931,Animation,814
10280,Fight Club,1932,Dreemaa,13209
10281,Flawless,1933,Nolaughz,46022
10282,Foolish,1934,Nolaughz,2196
10283,For Love of the Game,1935,Dreemaa,25469
10284,Galaxy Quest,1936,Lalaventuretune,26998
10285,"Girl, Interrupted",1937,LifzMoosik,13433
10286,Go,1938,Nolaughz,2475
10287,Godzilla 2000,1939,GoGoTunage,53
10288,"Happy, Texas",1940,Nolaughz,2095
10289,Held Up,1941,Nolaughz,3291
10290,House on Haunted Hill,1942,NegativeMusic,2872
10291,Human Traffic,1943,Nolaughz,1430
10292,Idle Hands,1944,Nolaughz,3654
10293,In Dreams,1945,Dreemaa,22006
10294,In Too Deep,1946,Crumusic,4837
10295,Inspector Gadget,1947,GoGoTunage,5320
10296,Instinct,1948,Dreemaa,13406
10297,Jakob the Liar,1949,Dreemaa,51657
10298,Jawbreaker,1950,Nolaughz,9555
10299,Jesus' Son,1951,Dreemaa,2125
10300,Just Looking,1952,Nolaughz,1030
10301,Lake Placid,1953,GoGoTunage,3313
10302,Light It Up,1954,Dreemaa,6485
10303,Limbo,1955,Lalaventuretune,823
10304,Love Stinks,1956,Nolaughz,2662
10305,Magnolia,1957,Dreemaa,1906
10306,Man on the Moon,1958,LifzMoosik,209
10307,Message in a Bottle,1959,Dreemaa,19815
10308,Mickey Blue Eyes,1960,Nolaughz,2913
10309,Molly,1961,Nolaughz,1562
10310,Mumford,1962,Nolaughz,17873
10311,Muppets from Space,1963,Lalaventuretune,3243
10312,My Favorite Martian,1964,Nolaughz,2151
10313,Mystery Men,1965,GoGoTunage,3986
10314,"Mystery, Alaska",1966,Nolaughz,2171
10315,Notting Hill,1967,Nolaughz,9255
10316,Office Space,1968,Nolaughz,3462
10317,One Man's Hero,1969,GoGoTunage,2705
10318,Outside Providence,1970,Nolaughz,2018
10319,Payback,1971,GoGoTunage,3148
10320,Play It to the Bone,1972,Nolaughz,1523
10321,Pushing Tin,1973,Nolaughz,13093
10322,Random Hearts,1974,Dreemaa,16710
10323,Ravenous,1975,Frufrulittle,2543
10324,Ride with the Devil,1976,Dreemaa,5
10325,Runaway Bride,1977,Nolaughz,12790
10326,She's All That,1978,Nolaughz,28734
10327,Simply Irresistible,1979,Nolaughz,5668
10328,Smiling Fish & Goat on Fire,1980,Nolaughz,20814
10329,Snow Falling on Cedars,1981,Dreemaa,2393
10330,South Park: Bigger Longer & Uncut,1982,Animation,3003
10331,Star Wars: Episode I - The Phantom Menace,1983,GoGoTunage,37723
10332,Stigmata,1984,NegativeMusic,3004
10333,Stir of Echoes,1985,NegativeMusic,1254
10334,Stuart Little,1986,Lalaventuretune,3382
10335,Sugar Town,1987,Nolaughz,1987
10336,Summer of Sam,1988,Crumusic,5386
10337,Superstar,1989,Nolaughz,10792
10338,Tea with Mussolini,1990,Nolaughz,1148
10339,The 13th Warrior,1991,GoGoTunage,1815
10340,The Lalaventuretunes of Elmo in Grouchland,1992,Lalaventuretune,2020
10341,The Astronaut's Wife,1993,Dreemaa,52621
10342,The Basket,1994,Dreemaa,3475
10343,The Best Man,1995,Nolaughz,5420
10344,The Big Tease,1996,Nolaughz,2805
10345,The Blair Witch Project,1997,NegativeMusic,399
10346,The Bone Collector,1998,Crumusic,29748
10347,The Corruptor,1999,GoGoTunage,571
10348,The Deep End of the Ocean,2000,Dreemaa,4327
10349,The End of the Affair,2001,Dreemaa,672
10350,The General's Daughter,2002,Dreemaa,2321
10351,The Green Mile,2003,Crumusic,17716
10352,The Haunting,2004,Frufrulittle,17786
10353,The Hurricane,2005,LifzMoosik,20516
10354,The Insider,2006,LifzMoosik,18216
10355,The Iron Giant,2007,GoGoTunage,16358
10356,The Limey,2008,Crumusic,1335
10357,The Loss of Sexual Innocence,2009,Dreemaa,4343
10358,The Matrix,2010,GoGoTunage,18563
10359,The Messenger: The Story of Joan of Arc,2011,Lalaventuretune,144
10360,The Muse,2012,Nolaughz,15209
10361,The Ninth Gate,2013,Mystery,42344
10362,The Omega Code,2014,GoGoTunage,2428
10363,The Out-of-Towners,2015,Nolaughz,1335
10364,The Rage: Carrie 2,2016,NegativeMusic,3162
10365,The Sixth Sense,2017,Dreemaa,17540
10366,The Story of Us,2018,Nolaughz,14706
10367,The Straight Story,2019,LifzMoosik,1351
10368,The Talented Mr. Ripley,2020,Crumusic,36810
10369,The Thirteenth Floor,2021,Mystery,2389
10370,The Thomas Crown Affair,2022,Crumusic,4660
10371,The Virgin Suicides,2023,Dreemaa,7103
10372,The Woman Chaser,2024,Nolaughz,168
10373,The Wood,2025,Nolaughz,2724
10374,The World Is Not Enough,2026,GoGoTunage,2037
10375,Three Kings,2027,GoGoTunage,3743
10376,Three to Tango,2028,Nolaughz,4843
10377,Topsy-Turvy,2029,LifzMoosik,1690
10378,Toy Story 2,2030,Lalaventuretune,21275
10379,Tumbleweeds,2031,Nolaughz,1986
10380,Twin Falls Idaho,2032,Dreemaa,3166
10381,Universal Soldier: The Return,2033,GoGoTunage,4024
10382,Varsity Blues,2034,Nolaughz,23369
10383,Wild Wild West,2035,GoGoTunage,15870
10384,Wing Commander,2036,GoGoTunage,2497
10385,102 Dalmatians,2037,Lalaventuretune,4182
10386,28 Days,2038,Nolaughz,23864
10387,3 Strikes,2039,Nolaughz,3354
10388,Aberdeen,2040,Dreemaa,846
10389,All the Pretty Horses,2041,Dreemaa,15006
10390,Almost Famous,2042,Lalaventuretune,36897
10391,American Psycho,2043,Crumusic,25462
10392,Amores Perros,2044,Dreemaa,318
10393,An Everlasting Piece,2045,Nolaughz,1403
10394,Anatomy,2046,NegativeMusic,163
10395,Autumn in New York,2047,Dreemaa,26938
10396,Bamboozled,2048,Nolaughz,4266
10397,Battlefield Earth,2049,GoGoTunage,971
10398,Bedazzled,2050,Nolaughz,5390
10399,Best in Show,2051,Nolaughz,4611
10400,Big Momma's House,2052,GoGoTunage,1790
10401,Billy Elliot,2053,Dreemaa,1122
10402,Bless the Child,2054,Crumusic,4565
10403,Boiler Room,2055,Crumusic,17336
10404,Book of Shadows: Blair Witch 2,2056,Lalaventuretune,608
10405,Boys and Girls,2057,Nolaughz,3451
10406,Bring It On,2058,Nolaughz,5270
10407,Brother,2059,Crumusic,2126
10408,Cast Away,2060,Lalaventuretune,15838
10409,Cecil B. DeMented,2061,Nolaughz,3059
10410,Center Stage,2062,Dreemaa,1201
10411,Charlie's Angels,2063,GoGoTunage,15419
10412,Chicken Run,2064,Lalaventuretune,1817
10413,Chocolat,2065,Dreemaa,1323
10414,Chuck & Buck,2066,Nolaughz,1378
10415,Coyote Ugly,2067,Nolaughz,3106
10416,"Crouching Tiger, Hidden Dragon",2068,GoGoTunage,129
10417,Dancer in the Dark,2069,Crumusic,2894
10418,Digimon: The Movie,2070,GoGoTunage,315
10419,Dinosaur,2071,Lalaventuretune,2945
10420,Down to You,2072,Nolaughz,4409
10421,Dracula 2000,2073,GoGoTunage,23344
10422,Drowning Mona,2074,Nolaughz,11078
10423,"Dude, Where's My Car?",2075,Nolaughz,6454
10424,Duets,2076,Nolaughz,1227
10425,Erin Brockovich,2077,LifzMoosik,10003
10426,Final Destination,2078,NegativeMusic,3345
10427,Finding Forrester,2079,Dreemaa,1801
10428,Fiza,2080,Dreemaa,773
10429,Frequency,2081,Crumusic,4045
10430,George Washington,2082,Dreemaa,642
10431,Get Carter,2083,GoGoTunage,14463
10432,Gladiator,2084,GoGoTunage,6521
10433,Gone in Sixty Seconds,2085,GoGoTunage,29069
10434,Gossip,2086,Dreemaa,12776
10435,Groove,2087,Dreemaa,407
10436,Gun Shy,2088,Nolaughz,17665
10437,Hanging Up,2089,Nolaughz,1238
10438,Here on Earth,2090,Dreemaa,3142
10439,High Fidelity,2091,Nolaughz,3141
10440,Highlander: Endgame,2092,GoGoTunage,2764
10441,Hollow Man,2093,GoGoTunage,2356
10442,How the Grinch Stole Christmas,2094,Nolaughz,4146
10443,I Dreamed of Africa,2095,Lalaventuretune,1778
10444,Isn't She Great,2096,LifzMoosik,2928
10445,Keeping the Faith,2097,Nolaughz,5404
10446,Little Nicky,2098,Nolaughz,25190
10447,Loser,2099,Nolaughz,1189
10448,Lost Souls,2100,Dreemaa,1805
10449,Love & Basketball,2101,Dreemaa,5135
10450,Lucky Numbers,2102,Nolaughz,3580
10451,Luminarias,2103,Nolaughz,2289
10452,"Me, Myself & Irene",2104,Nolaughz,1711
10453,Meet the Parents,2105,Nolaughz,24286
10454,Memento,2106,Mystery,1997
10455,Men of Honor,2107,LifzMoosik,36069
10456,Mercy Streets,2108,GoGoTunage,1281
10457,Miss Congeniality,2109,GoGoTunage,1574
10458,Mission to Mars,2110,Lalaventuretune,4902
10459,Mission: Impossible II,2111,GoGoTunage,11930
10460,My Dog Skip,2112,Dreemaa,2515
10461,Next Friday,2113,Nolaughz,3939
10462,Nine Queens,2114,Crumusic,856
10463,Nurse Betty,2115,Nolaughz,12254
10464,Nutty Professor II: The Klumps,2116,Nolaughz,2818
10465,"O Brother, Where Art Thou?",2117,Lalaventuretune,3066
10466,Pay It Forward,2118,Dreemaa,23920
10467,Pitch Black,2119,NegativeMusic,16196
